309;11683;11681;settings
310;1038;1048;parameters
311;11700;11702;settings
312;13954;17162;parameters
313;4970;14274;retrieved
314;4970;14674;remote_folder
315;4970;14275;output_parameters
316;15430;15435;parameters
317;16434;16433;kpoints
318;22242;22243;settings
319;20853;20854;kpoints
320;13852;13849;parameters
321;8226;8225;settings
322;4505;13113;parent_calc_folder
323;12594;12591;parameters
324;21713;21710;parameters
325;21915;15344;output_kpoints
326;21915;15958;remote_folder
327;21915;15341;retrieved
328;21915;15343;output_parameters
329;7353;7354;parameters
330;21841;21840;parameters
331;2760;2758;parameters
332;11487;15129;qpoints
333;22198;13849;pseudo_Li
334;22198;20635;pseudo_Li
335;22198;20639;pseudo_Li
336;22198;18833;pseudo_Li
337;22198;17946;pseudo_Li
338;22198;8132;pseudo_Li
339;22198;17947;pseudo_Li
340;22198;18558;pseudo_Li
341;22198;10066;pseudo_Li
342;22198;1955;pseudo_Li
343;22198;1336;pseudo_Li
344;22198;10074;pseudo_Li
345;22198;18829;pseudo_Li
346;22198;10617;pseudo_Li
347;22198;9814;pseudo_Li
348;22198;10070;pseudo_Li
349;22198;10623;pseudo_Li
350;22198;22634;pseudo_Li
351;22198;10619;pseudo_Li
352;22198;12781;pseudo_Li
353;22198;9235;pseudo_Li
354;22198;4761;pseudo_Li
355;22198;21013;pseudo_Li
356;22198;1340;pseudo_Li
357;22198;11453;pseudo_Li
358;22198;6779;pseudo_Li
359;22198;21009;pseudo_Li
360;4494;4502;settings
361;14755;16532;parent_calc_folder
362;14755;7247;parent_calc_folder
363;10299;8104;output_kpoints
364;10299;5383;remote_folder
365;10299;8105;retrieved
366;10299;8107;output_parameters
367;11633;3205;parent_calc_folder
368;1998;1997;kpoints
369;16868;16867;parameters
370;23242;23239;parameters
371;11884;17222;qpoints
372;15683;8523;parent_calc_folder
373;20995;20993;parameters
374;21583;21582;kpoints
375;17943;17947;settings
376;3157;19133;retrieved
377;3157;19131;output_parameters
378;3157;8343;remote_folder
379;13762;13760;settings
380;13663;13668;settings
381;5246;19178;kpoints
382;14977;9996;retrieved
383;14977;6549;remote_folder
384;14977;4788;output_parameters
385;14977;9995;output_kpoints
386;16052;6589;structure
387;5661;3216;structure
388;18134;9432;parameters
389;23604;23605;kpoints
390;22600;3706;retrieved
391;22600;14931;remote_folder
392;22600;3707;output_parameters
393;17125;15901;output_parameters
394;17125;18461;retrieved
395;17125;15902;output_kpoints
396;17125;22325;remote_folder
397;12736;12733;settings
398;20727;2751;retrieved
399;20727;3076;remote_folder
400;20727;2753;output_parameters
401;20727;2750;output_kpoints
402;20352;14992;structure
403;21457;12895;kpoints
404;12146;12147;kpoints
405;2392;20748;structure
406;7847;7853;settings
407;13517;4063;retrieved
408;13517;4065;output_kpoints
409;13517;4064;output_parameters
410;13517;23473;remote_folder
411;1510;11602;qpoints
412;9781;23615;structure
413;9781;1471;structure
414;22025;9592;structure
415;22025;1419;structure
416;11305;3547;retrieved
417;11305;20166;output_parameters
418;11305;10458;remote_folder
419;11305;20167;output_kpoints
420;14646;16946;kpoints
421;13174;21797;structure
422;4366;4364;settings
423;4819;8630;output_parameters
424;4819;22537;remote_folder
425;4819;3250;retrieved
426;7352;7354;settings
427;6663;1346;structure
428;1487;5640;output_parameters
429;1487;10956;remote_folder
430;1487;5641;output_kpoints
431;1487;5638;retrieved
432;12526;12527;parameters
